Sno,Name,Contact Number,Fax,Address,Opening Hours,Link
11,"1AESTHETICS, MEDICAL & SURGERY",66125173,96707265,8 EU TONG SEN STREET                                                                    THE CENTRAL                                                                                          #14-90 Singapore 059818,Public Holiday to Public Holiday : 11:00 am to 08:00 pmMonday to Saturday : 11:00 am to 08:00 pmSunday to Sunday :  Closed,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=vFnkpT9Kth5GPPnDvMWKpX2gwTGT1STHDbrSSWx6vMKyLgRHyzJT!-774379965!284555834&task=view&toBack=search&pkId=44813
12,326 AVENUE 3 CLINIC,62801567,96707265,BLK 326 SERANGOON AVE 3                              #01-382 Singapore 550326,"Eve of Chinese New Year (15/02/2018) :  ClosedChinese New Year (16/02/2018) :  ClosedChinese New Year (17/02/2018) :  ClosedChinese New Year (18/02/2018) :  ClosedMonday to Friday : 08:30 am to 12:00 pm, 01:00 pm to 03:30 pm, 06:30 pm to 09:00 pmSaturday and Sunday : 08:30 am to 12:00 pm, 06:30 pm to 09:00 pm",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=vFnkpT9Kth5GPPnDvMWKpX2gwTGT1STHDbrSSWx6vMKyLgRHyzJT!-774379965!284555834&task=view&toBack=search&pkId=1780
13,338 FAMILY CLINIC,64549408,96707265,BLK 338 ANG MO KIO AVE 1                              #01-1615 Singapore 560338,"Monday to Thursday : 08:30 am to 12:30 pm, 02:00 pm to 04:30 pm, 07:00 pm to 09:00 pm",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=vFnkpT9Kth5GPPnDvMWKpX2gwTGT1STHDbrSSWx6vMKyLgRHyzJT!-774379965!284555834&task=view&toBack=search&pkId=1790
14,8  MEDICAL AESTHETIC CLINIC,N/A,96707265,2 HANDY ROAD                                                                    THE CATHAY                                                                                          #04-18 Singapore 229233,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=vFnkpT9Kth5GPPnDvMWKpX2gwTGT1STHDbrSSWx6vMKyLgRHyzJT!-774379965!284555834&task=view&toBack=search&pkId=47020
15,8 MEDICAL AESTHETIC CLINIC,67336389,96707265,51 CUPPAGE ROAD                              #01-03 Singapore 229469,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=vFnkpT9Kth5GPPnDvMWKpX2gwTGT1STHDbrSSWx6vMKyLgRHyzJT!-774379965!284555834&task=view&toBack=search&pkId=45466
16,8 MEDICAL AESTHETIC CLINIC,67336389,96707265,1 GRANGE ROAD                                                                    ORCHARD BUILDING                                                                                          #06-05 Singapore 239693,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=vFnkpT9Kth5GPPnDvMWKpX2gwTGT1STHDbrSSWx6vMKyLgRHyzJT!-774379965!284555834&task=view&toBack=search&pkId=46270
17,8 MEDICAL AESTHETIC CLINIC,31575946,96707265,1 TAMPINES CENTRAL 5                                                                    CPF TAMPINES BUILDING                                                                                          #03-02 Singapore 529508,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=vFnkpT9Kth5GPPnDvMWKpX2gwTGT1STHDbrSSWx6vMKyLgRHyzJT!-774379965!284555834&task=view&toBack=search&pkId=46838
18,81 FAMILY CLINIC,63466768,96707265,BLK 86 MARINE PARADE CENTRAL                              #01-670 Singapore 440086,"Public Holiday : 09:00 am to 03:00 pmPublic Holiday :  ClosedEve of Chinese New Year (24/01/2020) : 09:00 am to 02:00 pmMonday to Friday : 10:00 am to 03:00 pm, 07:45 pm to 11:00 pmSaturday : 09:00 am to 03:00 pmSunday :  Closed",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=vFnkpT9Kth5GPPnDvMWKpX2gwTGT1STHDbrSSWx6vMKyLgRHyzJT!-774379965!284555834&task=view&toBack=search&pkId=1820
19,818 FAMILY CLINIC AND SURGERY,63636903,96707265,818 WOODLANDS ST 82                              #01-421 Singapore 730818,"Eve of Chinese New Year (24/01/2020) : 08:30 am to 12:00 pmChinese New Year (25/01/2020) : 08:30 am to 12:00 pmChinese New Year (27/01/2020) : 08:30 am to 12:00 pmMonday to Friday : 08:30 am to 12:30 pm, 02:00 pm to 04:00 pm, 07:00 pm to 09:00 pmSaturday and Public Holiday : 08:30 am to 12:30 pmSunday : 07:00 pm to 09:00 pm",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=vFnkpT9Kth5GPPnDvMWKpX2gwTGT1STHDbrSSWx6vMKyLgRHyzJT!-774379965!284555834&task=view&toBack=search&pkId=1840
20,888 PLAZA FAMILY CLINIC,63688762,96707265,888 WOODLANDS DRIVE 50                                                                    888 PLAZA                                                                                          #01-739 Singapore 730888,"Eve of Chinese New Year (24/01/2020) : 08:30 am to 01:00 pmChinese New Year (26/01/2020) : 09:00 am to 01:00 pmChinese New Year (27/01/2020) : 09:00 am to 09:00 pmChinese New Year (27/01/2020) : 09:00 am to 09:00 pmMonday to Friday : 08:30 am to 09:30 pmSaturday : 08:30 am to 01:00 pm, 06:00 pm to 09:30 pmSunday and Public Holiday : 09:00 am to 09:00 pm",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=vFnkpT9Kth5GPPnDvMWKpX2gwTGT1STHDbrSSWx6vMKyLgRHyzJT!-774379965!284555834&task=view&toBack=search&pkId=37811
21,@JUST BRACES.DENTAL CENTRE,63387580,67344578,3 KILLINEY ROAD                                                                    WINSLAND HOUSE I                                                                                          #09-02 Singapore 239519,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=45599
22,A & A CLINIC,63390883,67344578,BLK 570B WOODLANDS AVENUE 1                              #01-07 Singapore 732570,"Eve of Chinese New Year (24/01/2020) : 09:30 am to 12:30 pmMonday : 09:00 am to 01:00 pm, 06:00 pm to 09:00 pmTuesday : 09:00 am to 01:00 pmWednesday : 09:00 am to 01:00 pm, 06:00 pm to 09:00 pmThursday : 09:00 am to 01:00 pmFriday : 09:00 am to 01:00 pm, 06:00 pm to 09:00 pmSaturday : 09:00 am to 01:00 pm",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=43450
23,A CLINIC FOR WOMEN,64633366,67344578,820 THOMSON ROAD                                                                    MOUNT ALVERNIA HOSPITAL MEDICAL CENTRE D                                                                                          #08-58 Singapore 574623,Monday and Friday : 09:00 am to 06:00 pmTuesday and Thursday : 02:00 pm to 08:00 pmSaturday : 09:00 am to 01:00 pm,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=1890
24,"A COMPANY FOR WOMEN, OBSTETRICS & GYNAECOLOGY",63336181,67344578,1 Orchard Boulevard                                                                    Camden Medical Centre                                                                                          #03-05/06 Singapore 248649,"Public Holiday :  ClosedMonday : 08:00 am to 01:00 pm, 02:00 pm to 05:30 pmTuesday : 08:00 am to 01:00 pm, 02:00 pm to 05:30 pmWednesday : 08:00 am to 01:00 pm, 02:00 pm to 05:30 pmThursday : 08:00 am to 01:00 pm, 02:00 pm to 05:30 pmFriday : 08:00 am to 01:00 pm, 02:00 pm to 05:30 pmSaturday : 08:00 am to 01:00 pmSunday :  Closed",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=1900
25,A DENTAL CLINIC @ CLEMENTI CENTRAL PTE LTD,6774168,67344578,BLK 450 CLEMENTI AVENUE 3                              #01-285 Singapore 120450,"Monday to Friday : 09:00 am to 01:00 pm, 02:00 pm to 05:00 pm, 06:00 pm to 09:00 pmSaturday : 09:00 am to 01:00 pm, 02:00 pm to 05:00 pmSunday and Public Holiday : 09:00 am to 01:00 pm",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=39600
26,A DENTAL CLINIC @ JURONG EAST CENTRAL,65690280,67344578,BLK 135 Jurong Gateway Road                              #01-333 Singapore 600135,"Monday to Thursday : 09:00 am to 01:00 pm, 02:00 pm to 05:00 pm, 06:00 pm to 09:00 pmFriday and Saturday : 09:00 am to 01:00 pm, 02:00 pm to 05:00 pmSunday and Public Holiday : 09:00 am to 01:00 pm",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=36980
27,A L LIM CLINIC FOR WOMEN PTE LTD,62553333,67344578,339 THOMSON ROAD                                                                    THOMSON MEDICAL CENTRE                                                                                          #05-04 Singapore 307677,"Monday to Friday : 09:30 am to 01:00 pm, 02:00 pm to 04:30 pmSaturday : 09:30 am to 01:00 pm",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=33501
28,A LIFE CLINIC PTE LTD,67372283,67344578,10 SINARAN DRIVE                                                                    NOVENA MEDICAL CENTER                                                                                          #09-21 Singapore 307506,"Eve of Chinese New Year (15/02/2018) : 09:00 am to 12:30 pmChinese New Year (16/02/2018) :  ClosedChinese New Year (17/02/2018) :  ClosedChinese New Year (18/02/2018) :  ClosedMonday to Friday : 09:00 am to 12:30 pm, 02:00 pm to 04:30 pmSaturday and Saturday : 09:00 am to 12:30 pmSunday and Public Holiday :  Closed",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=3460
29,A LINE DENTAL BRACES CLINIC PTE LTD,68372722,67344578,1 Coleman Street                                                                    The Adelphi                                                                                          #03-01 Singapore 179803,"Public Holiday :  ClosedMonday : 10:00 am to 01:00 pm, 02:00 pm to 07:00 pmTuesday :  ClosedWednesday to Saturday : 10:00 am to 01:00 pm, 02:00 pm to 07:00 pmSunday :  Closed",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=1910
30,A LINE DENTAL BRACES CLINIC PTE LTD,68371525,67344578,1 COLEMAN STREET                                                                    THE ADELPHI                                                                                          #03-03 Singapore 179803,"Monday : 10:00 am to 01:00 pm, 02:00 pm to 07:00 pmTuesday :  ClosedWednesday to Saturday : 10:00 am to 01:00 pm, 02:00 pm to 07:00 pmSunday :  Closed",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=42300
31,A MEDICAL CLINIC,62262066,62199496,BLK 1 EVERTON PARK                                                                    EVERTON PARK                                                                                          #01-27 Singapore 081001,"Monday to Thursday : 08:00 am to 02:00 pm, 06:30 pm to 10:30 pmFriday to Sunday : 08:00 am to 02:00 pm",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=46973
32,"A SPECIALIST CLINIC FOR SINUS, SNORING & ENT",62537296,62199496,38 IRRAWADDY ROAD                                                                    MOUNT ELIZABETH NOVENA SPECIALIST CENTRE                                                                                          #08-45 Singapore 329563,"Monday to Friday : 09:00 am to 01:00 pm, 02:00 pm to 05:00 pmSaturday : 08:30 am to 12:00 am",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=46658
33,A ST*R DENTAL SURGERY,64589595,62199496,BLK 330 ANG MO KIO AVENUE 1                              #01-1805 Singapore 560330,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=36550
34,A ST*R DENTAL SURGERY,62629595,62199496,BLK 25 GHIM MOH LINK                              #01-09 Singapore 270025,Monday to Friday : 09:00 am to 09:00 pmSaturday : 09:00 am to 05:00 pmSunday and Public Holiday : 10:00 am to 02:00 pm,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=42850
35,A&M MEDICAL CENTRE,63381988,62199496,190 CLEMENCEAU AVENUE                                                                    SINGAPORE SHOPPING CENTRE                                                                                          #04-17 Singapore 239924,Friday : 01:30 pm to 05:30 pmSaturday : 10:00 am to 02:00 pm,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=44401
36,A+FFORDABLE CLINIC (AMK AVE 10),63437731,62199496,BLK 449 ANG MO KIO AVENUE 10                              #01-1715 Singapore 560449,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=46881
37,A+FFORDABLE CLINIC (HOUGANG),65849388,62199496,BLK 681 HOUGANG AVENUE 8                              #01-829 Singapore 530681,24 Hour,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=44918
38,"A. B. JOHN EAR, NOSE & THROAT CLINIC & SURGERY",67359654,62199496,3 MT ELIZABETH                                                                    MOUNT ELIZABETH MEDICAL CENTRE                                                                                          #15-10 Singapore 228510,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=1920
39,A.M AESTHETICS,63112955,62199496,3155 COMMONWEALTH AVENUE WEST                                                                    THE CLEMENTI MALL                                                                                          #04-50 Singapore 129588,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=46891
40,A.M. AESTHETICS,66342398,62199496,311 NEW UPPER CHANGI ROAD                                                                    BEDOK MALL                                                                                          #B1-18 Singapore 467360,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=46932
41,A.M.AESTHETICS,62199819,63112905,"21 CHOA CHU KANG AVENUE 4                                                                    LOT ONE, SHOPPERS' MALL                                                                                          #02-26 Singapore 689812",Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=46877
42,A1 MEDICAL CLINIC,64930198,63112905,BLK 418 BEDOK NORTH AVENUE 2                                                                    LINEAR GREEN @ BEDOK                                                                                          #01-63 Singapore 460418,"Public Holiday :  ClosedMonday to Friday : 09:00 am to 01:00 pm, 06:30 pm to 10:00 pmSaturday : 09:00 am to 12:00 pmSunday : 07:00 pm to 10:00 pm",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=46946
43,ABBOTT MANUFACTURING SINGAPORE MEDICAL CENTRE,65008883,63112905,BLK 26 TUAS SOUTH AVENUE 10                               Singapore 637437,Eve of Chinese New Year (15/02/2018) : 08:30 am to 05:00 pmChinese New Year (16/02/2018) :  ClosedChinese New Year (17/02/2018) :  ClosedChinese New Year (18/02/2018) :  Closed,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=35945
44,"ABEL SOH DIABETES, THYROID AND ENDOCRINE CLINIC",62622008,63112905,3 MOUNT ELIZABETH                                                                    MOUNT ELIZABETH HOSPITAL                                                                                          #07-08 Singapore 228510,Monday to Friday : 09:00 am to 05:00 pmSaturday : 09:00 am to 01:00 pm,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=45392
45,ABLE MEDICAL,69093955,63112905,BLK 201D TAMPINES STREET 21                              #01-1129 Singapore 524201,Eve of Chinese New Year (24/01/2020) : 08:30 am to 01:00 pmMonday to Thursday : 06:00 pm to 09:00 pmMonday to Saturday : 08:30 am to 01:00 pmSunday :  Closed,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=46012
46,ABOUT BRACES DENTAL SURGERY,63977177,63112905,8 SINARAN DRIVE                                                                    Novena Specialist Center                                                                                          #06-01 Singapore 307470,Public Holiday :  ClosedMonday to Friday : 08:00 am to 06:00 pmSaturday : 08:00 am to 01:30 pmSunday :  Closed,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=43280
47,"ABRAHAM'S EAR, NOSE & THROAT SURGERY PTE LTD",67344927,63112905,290 Orchard Road                                                                    Paragon                                                                                          #11-10 Singapore 238859,Monday to Saturday : 09:00 am to 12:00 pm,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=1990
48,ABSOLUTE FAMILY DENTAL,69045680,63112905,BLK 22 BOON KENG ROAD                                                                    BENDEMEER VILLE                                                                                          #01-41 Singapore 330022,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=46820
49,ABSOLUTE SMILE DENTAL,N/A,63112905,2 TAI THONG CRESCENT                                                                    THE VENUE SHOPPES                                                                                          #01-04 Singapore 347836,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=46686
50,ACACIA MEDICAL CLINIC,98164823,63112905,"180 DEPOT ROAD                                                                    INTERLACE, THE                                                                                          #01-07 Singapore 109684",Eve of Lunar New Year (04/02/2019) : 09:00 am to 12:00 pmLunar New Year (05/02/2019) : 06:00 pm to 09:00 pmLunar New Year (06/02/2019) : 06:00 pm to 09:00 pm,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=45244
51,ACCENT DENTAL SURGERY (JM) PTE LTD,62713613,64535339,BLK 18 JALAN MEMBINA                              #02-05 Singapore 164018,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=2000
52,ACCENT DENTAL SURGERY PTE LTD,64535339,64535339,BLK 446 ANG MO KIO AVE 10                              #01-1669 Singapore 560446,"Monday and Thursday : 09:00 am to 12:30 pm, 02:00 pm to 05:00 pm, 06:00 pm to 08:30 pmTuesday and Friday : 09:00 am to 12:30 pm, 02:00 pm to 06:00 pmWednesday and Sunday : 09:00 am to 01:00 pmSaturday : 09:00 am to 12:30 pm, 02:00 pm to 04:30 pm",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=2010
