Sno,Name,Address
137,CREST FAMILY CLINIC PTE. LTD.,"724 Woodlands Ave 6, #01-502, S730724"
138,CROSS STREET MEDICAL CLINIC,"531 Upper Cross Street, #01-35, Hong Lim Complex, S50531"
139,CROSSROADS FAMILY CLINIC,"601B Tampines Avenue 9, #01-10, Tampines Greenridges, S522601"
140,DA CLINIC @ ANCHORVALE,"351 Anchorvale Road, #01-01, S540351"
141,DA CLINIC @ ANSON,"10 Anson Road, #01-12, International Plaza, S079903"
142,DA CLINIC @ BISHAN,"501 Bishan Street 11, #01-374, S570501"
143,DA CLINIC @ BUKIT BATOK,"451 Bukit Batok West Avenue 6, #01-02, S650451"
144,DA CLINIC @ POTONG PASIR,"51 Upper Serangoon Road, #01-53, The Poiz Centre, S347697"
145,DA CLINIC @ SEMBAWANG,"604 Sembawang Road, #B1-06, Sembawang Shopping Centre, S758459"
146,DA CLINIC @ TAMAN JURONG,"140 Corporation Drive, #01-03, S610140"
147,DAILY MEDICAL CENTRE,"159 Hougang Street 11, #01-17, S530159"
148,DAYSPRING MEDICAL CLINIC (TAMPINES),"2 Tampines Central 5, #04-09, Century Square, S529509"
149,DOCTORS CLINIC & SURGERY,"305 Woodlands Street 31, #01-91, S730305"
150,DOCTORS FOR LIFE MEDICAL,"3 Pickering Street, #01-02, S048660"
151,DOCTORS INC MEDICAL GROUP,"190 Toa Payoh Lorong 6, #01-590, S310190"
152,"DOCTORS KOO, LOH & ASSOCIATES (PTE) LTD","152 Yung Ho Rd, #B1-03, S610152"
153,DOVER MEDICAL CENTRE,"1 Fusionopolis Way, #03-05, Connexis, S138632"
154,DR CHEN AND PARTNERS MEDICAL CLINIC,"9 Sin Ming Road, #B1-01, Thomson V One, S575630"
155,DR CHUA & LEE FAMILY CLINIC,"213 Bishan Street 23, #B1-235, S570213"
156,DR CHUA'S FAMILY CLINIC PTE. LTD.,"638 Jurong West Street 61, #02-04, Pioneer Mall, S640638"
157,DR GARY'S FAMILY CLINIC,"77 Indus Road, #01-519, Indus Garden, S160077"
158,DR JEREMY CHAN MEDICAL CLINIC,"123 Lorong 1 Toa Payoh, #01-493, S310123"
159,DR JOYCE & PARTNERS FAMILY CLINIC,"224A Sumang Lane, #01-01, Matilda Edge, S821224"
160,DR JOYCE & PARTNERS FAMILY CLINIC (TOA PAYOH BRANCH),"177 Toa Payoh Central, #01-146, S310177"
161,DR KEVIN CHUA MEDICAL & AESTHETICS,"360 Orchard Road, International Building, #03-05, S238869"
162,DR NAH & LEE FAMILY CLINIC,"780 Woodlands Crescent, #01-03, Multi Storey Car Park, S730780"
163,DR W.K. KOO & ASSOCIATES P.L.,"1 Jurong West Central 2, #01-16A&B, Jurong Point, S648886"
164,DRS CHAN & TANG FAMILY CLINIC,"125 Lorong 1 Toa Payoh, #01-549, S310125"
165,DRS CHUA & PARTNERS PTE LTD,"1 Tanjong Pagar Plaza, #01-10, S082001"
166,"DRS KOO, FOK & ASSOCIATES PTE LTD","55 Benoi Road, #01-12, S629907"
167,"DRS KOO, FOK & ASSOCIATES( PIONEER )","31 Jurong West Street 63, #02-04, S648310"
168,"DRS KOO, KOH & ASSOCIATES P.L.","163 Bukit Merah Central, #01-3609, S150163"
169,DRS LIM & CHAN CLINIC,"2 Lor Lew Lian, #01-50, S531002"
170,DRS LIM & CHAN CLINIC,"106 Hougang Ave 1, #01-1235, S530106"
171,"DRS OH, LIM, WONG & PARTNERS","959 Jurong West St 92, #01-154, S640959"
172,"DRS SINGH & PARTNERS, RAFFLES CITY MEDICAL CENTRE","252 North Bridge Rd, #02-16, Raffles City Shopping Centre, S179103"
173,DRS TANG & PARTNERS PTE. LTD.,"64 Yung Kuang Road, #01-115, S610064"
174,DUXTON MEDICAL CLINIC,"7 Tanjong Pagar Plaza, #01-106, S81007"
175,DUXTON MEDICAL CLINIC CANBERRA,"361 Sembawang Crescent, #01-03, S750361"
176,E MEDICAL CLINIC & SURGERY,"126 Lorong 1 Toa Payoh, #01-567, S310126"
177,E.J. TAN CLINIC & SURGERY,"104 Jurong East St 13, #01-100, S600104"
178,EAST COAST FAMILY CLINIC,"121 Meyer Road, #01-05, The Makena, S437932"
179,EAST COAST MEDICAL CENTRE PTE LTD,"57A New Upper Changi Rd, #01-1374, S462057"
180,EASTERN CLINIC & SURGERY PTE LTD,"235 Jurong East Street 21, #01-316, S600235"
181,EASTERN CLINIC & SURGERY PTE LTD,"318 Jurong East Street 31, #01-48, S600318"
182,EASTERN CLINIC AND DENTAL SURGERY,"303 Jurong East St 32, #01-92, S600303"
183,EASTERN MEDICAL CENTRE,"631 Bedok Reservoir Rd, #01-896, S470631"
184,EC FAMILY CLINIC,"30 Eunos Crescent, #01-17/18, Eunos Mrt Station, S409423"
185,EDGEDALE MEDICAL CLINIC,"122A Edgedale Plains, #01-187, S821122"
186,EDGEDALE MEDICAL CLINIC (CAMBRIDGE),"40 Cambridge Road, #01-115, S210040"
187,EE CLINIC,"128 Ang Mo Kio Ave 3, #01-1859, S560128"
188,EH MEDICAL,"785E Woodlands Rise, #01-12, S735785"
189,EH MEDICAL FAMILY CLINIC (BUKIT BATOK),"292 Bukit Batok East Avenue 6, #01-07, S650292"
190,EHA CLINIC @ JURONG,"492 Jurong West Street 41, #01-40, S640492"
191,EIDDWEN FAMILY MEDICINE CLINIC,"34 Cassia Crescent, #01-80, S390034"
192,EJ FAMILY CLINIC & SURGERY,"109 Toa Payoh Lor 1, #01-314, S310109"
193,ELIAS FAMILY CLINIC & SURGERY,"625 Elias Rd, #01-320, S510625"
194,ELISSA MEDICAL CLINIC,"1 Hougang Street 91, #01-21, Hougang 1, S538692"
195,ELYON FAMILY CLINIC AND SURGERY,"78B Telok Blangah Street 32, #01-22, S102078"
196,EMMANUEL MEDICAL CLINIC,"272 Tampines Street 22, #01-26, S520272"
197,EON MEDICAL CLINIC,"475 Upper Serangoon Crescent, #01-04, Multi Storey Car Park, S530475"
198,ESSENTIAL FAMILY CLINIC & SURGERY,"626A Woodlands Dr 52, #01-01, S731626"
199,ETERN MEDICAL CLINIC,"70 Punggol Central, #01-05, Punggol Mrt Station, S828868"
200,ETERN MEDICAL CLINIC (FERNVALE PALM),"432A Sengkang West Way, #01-03, S791432"
201,ETERN MEDICAL CLINIC (PUNGGOL SUMANG LRT),"308C Punggol Walk, #01-302, Waterway Terraces I, S823308"
202,ETERN MEDICAL CLINIC (SENGKANG),"33 Sengkang West Avenue, #03-33, The Seletar Mall, S797653"
203,EVANGEL MEDICAL CLINIC,"10 Chai Chee Rd, #01-01, S467010"
204,EVERHEALTH FAMILY CLINIC & SURGERY,"762 Jurong West St 75, #01-290, Gek Poh Shopping Centre, S640762"
205,EVERHEALTH MEDICAL CENTRE,"540 Hougang Avenue 8, #B1-1235, S530540"
206,EVERTON CLINIC,"7 Everton Park, #01-17, S80007"
207,EXCEL FAMILY CLINIC,"21 Hougang St 51, #01-06, Hougang Green Shopping Mall, S538719"
208,EXCELSIOR CLINIC & SURGERY,"283 Bt Batok East Ave 3, #01-261, S650283"
209,F K LIM FAMILY CLINIC,"267 Tampines St 21, #01-43, S520267"
210,FAITH CLINIC (BEDOK),"746 Bedok Reservoir Road, #01-3013, S470746"
211,FAITH CLINIC (JURONG WEST),"762 Jurong West St 75, #02-256D, S640762"
212,FAITH CLINIC (SIMEI),"139 Simei St 1, #01-10, S520139"
213,FAITH CLINIC (TOA PAYOH),"211 Toa Payoh Lor 8, #01-19, S310211"
214,FAITH CLINIC (YISHUN),"598 Yishun Ring Road, #01-11, Wisteria Mall, S768698"
215,FAITH FAMILY CLINIC,"57 Marine Terrace, #01-113, S440057"
216,FAITH HEALTHCARE (RIVERVALE),"11 Rivervale Crescent, #02-15, Rivervale Mall, S545082"
217,FAITH HEALTHCARE (TAMPINES),"11 Tampines Street 32, #01-11, Tampines Mart, S529287"
218,FAITH MEDICAL CLINIC & SURGERY,"487C Tampines St 45, #B1-103, S522487"
219,FAJAR FAMILY CLINIC & SURGERY,"445 Fajar Road, #01-550, Fajar Shopping Centre, S670445"
220,FAMILY CARE CLINIC & SURGERY,"608 Ang Mo Kio Ave 5, #01-2785, S560608"
221,FAMILY CARE MEDICAL CENTRE PTE LTD,"916 Hougang Ave 9, #01-08, S530916"
222,FAMILY DOCTORS AT 365,"365 Corporation Drive, #01-407, S610365"
223,FAMILY HEALTH CLINIC & SURGERY,"2 Balestier Road, #01-651, Balestier Hill Shopping Centre, S320002"
224,FAMILY HEALTH MEDICAL CENTRE,"226G Ang Mo Kio Ave 1, #01-681, S567226"
225,FAMILY HEALTHCARE CLINIC & SURGERY,"151 Serangoon North Ave 2, #01-35, S550151"
226,FAMILY HEALTHCARE CLINIC & SURGERY PTE LTD,"523 Hougang Ave 6, #01-119, S530523"
227,FAMILY MEDICAL CLINIC PTE LTD,"280 Bt Batok East Ave 3, #01-317, S650280"
228,FAMILY MEDICARE CLINIC & SURGERY,"721 Ang Mo Kio Ave 8, #01-2815, S560721"
229,FAMILY MEDICINE CLINIC,"58 Marine Terrace, #01-65, S440058"
230,FAMILY MEDICINE CLINIC CHINATOWN,"133 New Bridge Road, #02-09, Chinatown Point, S059413"
231,FAMILYCARE CLINIC & SURGERY,"85C Toa Payoh Lorong 4, #01-380, S313085"
232,FERNVALE FAMILY CLINIC,"405C Fernvale Lane, #01-101, S793405"
233,FINEST HEALTH MEDICAL CENTRE,"19 Lorong 7 Toa Payoh, #01-268, Kim Keat Palm, S310019"
234,FIRST CARE FAMILY CLINIC & SURGERY,"253 Jurong East St 24, #01-257, S600253"
235,FIRST LIGHT FAMILY CLINIC & SURGERY,"272 Bukit Batok East Avenue 4, #01-72, S650272"
236,FIRST MEDICAL CENTRE (YISHUN) PTE LTD,"110 Yishun Ring Rd, #01-399, S760110"
237,FIRST MEDICAL CENTRE PTE LTD,"169 Stirling Road, #01-1165, S140169"
238,FIRST MEDICAL CLINIC & SURGERY,"167 Woodlands St 11, #01-11, S730167"
239,FOCUS MEDICAL CENTRE,"137 Teck Whye Lane, #01-329, Teck Whye Shopping Centre, S680137"
240,FONG CLINIC,"162 Mei Ling St, #01-361, S140162"
241,FRASER MEDICAL CENTRE,"78A Telok Blangah St 32, #01-07, S101078"
242,FRIENDSHIP CLINIC & SURGERY,"1 Jalan Bukit Merah, #01-4524, S150001"
243,FRONTIER FAMILY MEDICINE CLINIC,"3151 Commonwealth Avenue West, #04-01, Cityvibe, S129581"
244,FRONTIER MEDICAL ASSOCIATES,"494 Tampines Street 45, #01-02, S523494"
245,FRONTIER MEDICAL ASSOCIATES,"982 Buangkok Crescent, #01-03, S530982"
246,FRONTIER MEDICAL ASSOCIATES,"163 Ang Mo Kio Ave 4, #01-426, S560163"
247,FRONTIER MEDICAL ASSOCIATES,"678D Jurong West Street 64, #01-347, S644678"
248,FRONTIER MEDICAL ASSOCIATES,"440 Bukit Batok West Avenue 8, #01-05, S650440"
249,FRONTIER MEDICAL ASSOCIATES,"691 Woodlands Drive 73, #01-04, S730691"
250,FRONTIER MEDICAL ASSOCIATES,"899C Woodlands Dr 50, #01-296, S732899"
251,FRONTIER MEDICAL ASSOCIATES,"105 Canberra Street, #01-11, S750105"
252,FRONTIER MEDICAL ASSOCIATES,"654 Yishun Ave 4, #01-437, S760654"
253,FRONTIER MEDICAL ASSOCIATES,"304 Ubi Avenue 1, #01-87, S400304"
254,FRONTIER MEDICAL ASSOCIATES,"451 Bukit Batok West Ave 6, #01-07, S650451"
255,FRONTIER PEOPLE'S CLINIC,"123 Bedok North Street 2, #01-152, S460123"
256,FULLERTON HEALTH @ DRS TRYTHALL HOY DAVIES,"391B Orchard Road, #25-01/07/08, Ngee Ann City Tower B, S238874"
257,FULLERTON HEALTHCARE @ ARC,"460 Alexandra Road, #02-18, S119963"
258,FULLERTON HEALTHCARE @ DRS TRYTHALL HOY DAVIES,"1 Jurong West Central 2, #B1A-19B, Jurong Point Shopping Centre, S648886"
259,FULLERTON HEALTHCARE @ GETHIN-JONES,"78 Shenton Way, #04-01, S079120"
260,FULLERTON HEALTHCARE @ METROPOLIS,"9 North Buona Vista Drive, #01-03, The Metropolis, S138588"
261,G & H MEDICAL CLINIC PTE LTD,"106 Yishun Ring Road, #01-173, S760106"
262,GARDEN CLINIC,"304 Serangoon Ave 2, #01-04, S550304"
263,GLOBAL CARE MEDICAL,"77 Jalan Malu-Malu, #01-77, S769687"
264,GOODDOCTORS MEDICAL CLINIC,"18 Yishun Avenue 9, #02-55, S768897"
265,GREEN CROSS MEDICAL CENTRE,"824 Tampines St 81, #01-30, S520824"
266,GREENFOREST FAMILY CLINIC,"878C Tampines Avenue 8, #01-71, S523878"
267,GREENLIFE CLINIC & SURGERY,"11 Canberra Rd, #02-01, Sembawang Mrt Station, S759775"
268,GREENLIFE CLINIC & SURGERY,"624 Choa Chu Kang Street 62, #01-230, Yew Tee Shopping Centre, S680624"
269,GREENLINK MEDICAL CLINIC,"807 Yishun Ring Road, #01-4213, S760807"
270,GSH CLINIC & SURGERY PTE. LTD,"9 Yio Chu Kang Road, #01-40, S545523"
271,H S LEE CLINIC & SURGERY,"173 Yishun Ave 7, #01-823, S760173"
272,HAMID FAMILY CLINIC & SURGERY,"156 Pasir Ris St 13, #01-35, S510156"
273,HARMONY FAMILY CLINIC,"235 Choa Chu Kang Central, #B1-25, S680235"
274,HAVELOCK FAMILY CLINIC,"22 Havelock Rd, #01-709, S160022"
275,HEALTH FIRST FAMILY CLINIC,"26 Jalan Membina, #01-06, S161026"
276,HEALTH PARTNERS FAMILY CLINIC,"1 Bt Batok Central Link, #01-37, West Mall, S658713"
277,HEALTH PARTNERS MEDICAL CLINIC,"100 Cecil Street, #09-01, The Globe, S069532"
278,HEALTH PARTNERS MEDICAL CLINIC (SIGLAP),"23 Upper East Coast Road, Crescendo Building, S455289"
279,HEALTH PARTNERSHIP MEDICAL CENTRE,"109 Bukit Purmei Rd, #01-145, S090109"
280,HEALTHBRIDGE FAMILY CLINIC,"615A Edgefield Plains, #01-327, Punggol Spring, S821615"
281,HEALTHCARE AMK MEDICAL CLINIC,"157 Ang Mo Kio Avenue 4, #01-578, S560157"
282,HEALTHCARE FAMILY CLINIC & SURGERY,"403 Sin Ming Ave, #01-311, S570403"
283,HEALTHCARE HOUGANG MEDICAL CLINIC,"311 Hougang Avenue 5, #01-191, S530311"
284,HEALTHLIFE FAMILY CLINIC,"296A Bukit Batok Street 22, #01-64, Skyline Ii @ Bukit Batok, S651296"
285,HEALTHLINE FAMILY CLINIC & SURGERY PTE. LTD.,"25A Chai Chee Road, #01-467, S461025"
286,HEALTHLINK (AMK) MEDICAL CENTRE,"108 Ang Mo Kio Ave 4, #01-86, S560108"
287,HEALTHLINK FAMILY CLINIC & SURGERY,"21 Ghim Moh Road, #01-187, S270021"
288,HEALTHLINK MEDICAL CLINIC & SURGERY,"5 Upper Aljunied Lane, #01-46, S360005"
289,HEALTHMARK CLINIC (PASIR RIS),"735 Pasir Ris Street 72, #01-314, Pasir Ris West Plaza, S510735"
